Client ID,Number of Employees,Average Number of Tickets,Value of Contract,Industry
TK669,561,90,200000,Retail
EY859,530,85,200000,Retail
TN571,82,5,25000,Manufacturing
LJ675,491,82,225000,Manufacturing
KH713,230,12,75000,Services
NU563,613,74,225000,Manufacturing
JB001,332,7,125000,Services
RK635,405,58,175000,Retail
OL292,224,8,100000,Manufacturing
BL855,790,101,200000,Retail
DP738,708,14,175000,Services
EP164,591,43,200000,Manufacturing
CI402,265,32,100000,Manufacturing
WS449,320,10,150000,Retail
XJ283,586,84,250000,Retail
YH077,896,108,250000,Manufacturing
HJ096,503,91,225000,Services
XE994,531,17,175000,Retail
FL513,525,13,175000,Manufacturing
EO340,625,70,200000,Retail
YU536,111,4,50000,Retail
MK977,418,70,150000,Manufacturing
MA228,215,2,50000,Retail
VT098,717,57,150000,Retail
YS238,556,67,250000,Manufacturing
TL887,205,16,100000,Services
OR604,323,31,125000,Manufacturing
RC109,331,5,100000,Retail
ZF067,161,1,50000,Retail
XH481,366,18,175000,Retail
AK669,157,4,75000,Retail
SE141,1000,192,250000,Manufacturing
OU667,507,110,250000,Manufacturing
KX471,118,4,25000,Services
GA259,182,10,75000,Retail
EK473,77,9,25000,Manufacturing
OL641,370,71,150000,Manufacturing
PV761,162,3,75000,Retail
JX828,493,118,200000,Manufacturing
VT172,331,10,75000,Services
JH098,54,2,25000,Retail
EJ875,266,13,125000,Retail
QE887,469,34,100000,Retail
SF991,333,80,150000,Manufacturing
AY138,469,34,225000,Manufacturing
SI109,253,18,100000,Retail
XC728,265,64,125000,Manufacturing
BF513,429,69,175000,Retail
ZS670,201,2,75000,Services
YJ997,85,4,25000,Retail
XS942,781,75,250000,Retail
JR278,338,11,100000,Retail
EA795,325,13,100000,Retail
WO136,443,21,125000,Manufacturing
NA044,206,12,75000,Manufacturing
CN665,576,28,150000,Retail
GJ526,853,164,250000,Manufacturing
VO304,190,19,50000,Services
VZ185,451,65,175000,Retail
II783,652,10,225000,Retail
SP442,346,6,150000,Retail
MT674,349,84,150000,Manufacturing
MO024,434,42,125000,Manufacturing
DY941,702,90,175000,Retail
MW987,638,153,200000,Manufacturing
BV660,765,86,225000,Retail
SF759,1086,130,225000,Services
UO757,751,108,175000,Retail
AD933,557,78,150000,Services
CP860,566,23,150000,Services
FP273,465,74,200000,Retail
BE641,445,50,175000,Retail
CC600,102,8,25000,Retail
WI528,792,133,225000,Manufacturing
EY926,435,10,125000,Manufacturing
VE371,296,19,75000,Retail
FS028,284,61,125000,Manufacturing
CC735,544,54,250000,Services
SS800,142,10,50000,Retail
UY281,1116,125,250000,Retail
HQ058,447,63,200000,Services
FM980,294,49,125000,Manufacturing
RE016,458,77,175000,Manufacturing
HI049,542,61,225000,Retail
SJ512,56,5,25000,Manufacturing
PF181,117,2,50000,Retail
NK997,484,23,225000,Retail
XE927,359,57,175000,Services
DG417,185,6,50000,Services
XF205,745,134,225000,Services
RU423,336,48,125000,Retail
XE728,561,18,250000,Retail
LF048,542,117,200000,Manufacturing
EC187,746,125,150000,Manufacturing
TM675,87,3,25000,Retail
CW599,330,63,150000,Manufacturing
EJ510,549,79,200000,Retail
SS713,374,12,100000,Retail
AG993,485,68,225000,Services
FE145,422,20,150000,Retail
KU579,220,16,100000,Manufacturing
HA467,451,76,150000,Manufacturing
IH316,382,61,175000,Retail
JY500,537,11,250000,Services
DY444,623,80,200000,Retail
AG942,314,8,100000,Manufacturing
IH238,467,112,225000,Manufacturing
BB845,573,64,175000,Retail
AS615,284,31,100000,Manufacturing
XW315,157,6,75000,Retail
DT205,747,90,225000,Services
UD496,806,64,175000,Retail
AB625,479,48,200000,Services
AD530,230,22,75000,Manufacturing
ZT566,696,117,225000,Manufacturing
MR594,757,48,200000,Retail
FB010,938,45,200000,Manufacturing
XS766,118,1,50000,Services
ER254,625,120,175000,Manufacturing
UT353,150,4,75000,Retail
ED793,179,6,50000,Manufacturing
GO021,811,52,250000,Retail
NR717,655,31,200000,Retail
XF028,581,116,250000,Services
HJ024,437,70,200000,Retail
QS841,460,55,200000,Services
DH885,439,11,200000,Manufacturing
PU583,242,15,100000,Retail
IW704,165,6,75000,Manufacturing
QY940,105,4,25000,Retail
HS718,665,106,225000,Retail
IM026,207,10,50000,Services
ZL960,697,89,150000,Retail
PA205,112,7,50000,Manufacturing
WN426,154,13,75000,Manufacturing
KS766,558,18,250000,Retail
RQ223,114,7,25000,Manufacturing
UD617,643,93,200000,Retail
OO381,566,57,200000,Services
FR220,139,8,50000,Retail
YD850,115,7,50000,Retail
XQ397,299,24,125000,Services
GN110,862,207,175000,Manufacturing
YF322,406,32,150000,Retail
TK801,583,98,150000,Manufacturing
TD390,54,1,25000,Retail
DG864,578,92,225000,Services
OA701,168,11,50000,Retail
GI736,141,11,50000,Retail
ME342,582,116,250000,Services
WS394,351,28,150000,Retail
YL712,99,8,25000,Retail
XZ950,287,21,75000,Manufacturing
FS634,383,83,150000,Manufacturing
FT411,56,4,25000,Services
BJ808,101,11,25000,Manufacturing
FC405,447,80,150000,Services
RG708,568,82,225000,Retail
LX009,484,93,200000,Manufacturing
FH721,232,17,75000,Retail
GW810,696,125,200000,Services
OJ363,714,154,150000,Manufacturing
LQ826,160,10,75000,Manufacturing
NR876,466,22,125000,Retail
HA911,435,14,125000,Retail
RP417,434,42,150000,Manufacturing
AH106,475,10,175000,Services
RW590,889,28,225000,Retail
QP283,134,13,50000,Manufacturing
NS690,174,11,75000,Retail
IF530,104,2,50000,Retail
WR759,708,136,250000,Manufacturing
XB147,427,41,175000,Retail
QQ766,614,10,175000,Retail
RV152,301,29,75000,Manufacturing
VW099,614,25,225000,Services
HW462,498,24,175000,Manufacturing
KV080,956,46,200000,Retail
ZV891,75,3,25000,Retail
CK123,937,90,225000,Retail
XN300,332,16,100000,Retail
MY364,107,4,50000,Manufacturing
XH253,620,149,175000,Manufacturing
TK935,98,3,25000,Services
EA907,340,14,100000,Retail
SO073,872,21,225000,Manufacturing
ML204,346,66,125000,Manufacturing
VP668,630,10,150000,Retail
EU061,249,9,75000,Manufacturing
RB539,696,70,250000,Services
VN296,515,16,150000,Retail
YY933,213,12,100000,Retail
WR751,264,8,75000,Retail
ES504,402,77,150000,Manufacturing
XV636,153,4,75000,Manufacturing
BO657,943,91,250000,Retail
AZ991,558,94,225000,Manufacturing
DS387,589,28,250000,Retail
UD478,51,5,25000,Services
GA798,980,125,250000,Retail
IX698,258,4,75000,Retail
XX511,52,1,25000,Retail
JM406,296,38,125000,Retail
AK362,865,125,200000,Manufacturing
XZ882,1086,156,250000,Manufacturing
TJ812,615,79,200000,Retail
LF796,671,145,200000,Manufacturing
QB541,68,5,25000,Services
HG169,877,56,250000,Retail
MI268,268,17,125000,Retail
IE724,124,10,50000,Retail
PU178,449,97,200000,Manufacturing
KL471,730,140,250000,Manufacturing
BP613,150,2,75000,Retail
BC940,130,9,50000,Manufacturing
EQ885,559,18,250000,Retail
VY811,1113,89,225000,Services
LR126,417,47,150000,Retail
XU084,424,8,200000,Services
WM703,205,21,100000,Services
EA188,444,21,125000,Retail
XN129,304,34,150000,Retail
MH413,424,7,175000,Retail
QP954,311,26,75000,Manufacturing
YW363,468,45,200000,Manufacturing
GB108,117,7,50000,Retail
KJ093,526,126,150000,Manufacturing
IF235,303,55,150000,Services
EY701,62,4,25000,Retail
NV543,63,4,25000,Retail
ZF679,56,2,25000,Services
WN214,157,17,75000,Manufacturing
ZH537,473,23,100000,Manufacturing
GT494,533,68,250000,Retail
MT152,304,66,125000,Manufacturing
NS835,403,64,175000,Retail
ZW586,61,4,25000,Retail
RV252,709,28,225000,Services
EY633,358,14,100000,Services
EH313,625,50,175000,Services
AF307,140,1,50000,Retail
HK398,400,6,125000,Retail
JT152,51,6,25000,Manufacturing
BB681,257,6,100000,Manufacturing
CE418,103,2,50000,Retail
BM881,412,99,200000,Manufacturing
RI108,58,4,25000,Retail
PW929,241,13,100000,Retail
KI610,174,3,75000,Services
NB548,514,82,200000,Retail
RC623,103,6,50000,Manufacturing
MV776,444,11,175000,Manufacturing
ZW409,724,93,200000,Retail
NJ331,969,174,225000,Services
VO165,349,28,125000,Retail
AB602,124,15,25000,Manufacturing
PG795,540,91,175000,Manufacturing
JF253,162,8,50000,Retail
KZ248,653,63,200000,Manufacturing
DI989,501,48,175000,Retail
WZ875,511,41,150000,Services
SF121,125,10,50000,Retail
CC371,323,52,125000,Services
NQ125,57,3,25000,Manufacturing
IH194,548,66,250000,Manufacturing
IO409,447,50,150000,Retail
NQ415,518,25,225000,Manufacturing
YP608,310,25,150000,Services
ZO933,1063,77,250000,Manufacturing
KX169,517,74,150000,Retail
LX315,570,14,150000,Manufacturing
SX017,493,32,225000,Retail
SS770,665,96,225000,Retail
AC350,457,73,125000,Services
GQ824,550,62,200000,Retail
BM064,345,35,125000,Services
TA797,77,7,25000,Manufacturing
YK628,131,6,50000,Retail
OV680,336,20,75000,Manufacturing
LK884,515,33,250000,Retail
PO730,399,32,175000,Retail
BM153,760,91,200000,Services
FD620,492,16,200000,Retail
ED757,275,33,100000,Manufacturing
CO779,638,31,150000,Manufacturing
UP105,102,1,50000,Retail
SJ240,615,44,250000,Manufacturing
WY304,50,4,25000,Retail
RS453,560,34,250000,Services
AE832,575,28,175000,Retail
GB470,474,53,175000,Retail
KR852,533,21,200000,Services
MD071,607,73,200000,Manufacturing
TW282,93,1,25000,Retail
KX173,615,74,200000,Manufacturing
LX368,563,9,200000,Retail
AO425,180,13,75000,Services
RK910,301,19,100000,Retail
NX264,209,5,75000,Retail
ZG121,531,106,225000,Services